MicrobeID,Strain,Species,Genus,Family,Order,Class,Phylum,Kingdom,NCBI Taxonomy ID,RefSeq ID,Genbank ID,Gram Staining,Oxygen Requirement,BacDive ID,BacDive strain,Download link
Clostridia_bacterium_UC5_1_2G4,Clostridia bacterium UC5.1-2G4,Vallitalea Clostridia bacterium UC5.1-2G4,Vallitalea,Defluviitaleaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1697791,,GCA_001305075.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/075/GCA_001305075.1_ASM130507v1/GCA_001305075.1_ASM130507v1_genomic.fna.gz
Clostridia_bacterium_UC5_1_2H11,Clostridia bacterium UC5.1-2H11,Vallitalea Clostridia bacterium UC5.1-2H11,Vallitalea,Defluviitaleaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1697795,,GCA_001305155.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/155/GCA_001305155.1_ASM130515v1/GCA_001305155.1_ASM130515v1_genomic.fna.gz
Clostridia_bacterium_UC5_1_2H6,Clostridia bacterium UC5.1-2H6,Vallitalea Clostridia bacterium UC5.1-2H6,Vallitalea,Defluviitaleaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1697788,,GCA_001305015.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/015/GCA_001305015.1_ASM130501v1/GCA_001305015.1_ASM130501v1_genomic.fna.gz
Clostridiaceae_bacterium_AF18_31LB,Clostridiaceae bacterium AF18-31LB,Butyricicoccus Clostridiaceae bacterium AF18-31LB,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292182,,GCA_003479325.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/479/325/GCA_003479325.1_ASM347932v1/GCA_003479325.1_ASM347932v1_genomic.fna.gz
Clostridiaceae_bacterium_AF29_16BH,Clostridiaceae bacterium AF29-16BH,Butyricicoccus Clostridiaceae bacterium AF29-16BH,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292179,,GCA_003478475.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/478/475/GCA_003478475.1_ASM347847v1/GCA_003478475.1_ASM347847v1_genomic.fna.gz
Clostridiaceae_bacterium_AF31_3BH,Clostridiaceae bacterium AF31-3BH,Hungatella Clostridiaceae bacterium AF31-3BH,Hungatella,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2291989,,GCA_003478105.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/478/105/GCA_003478105.1_ASM347810v1/GCA_003478105.1_ASM347810v1_genomic.fna.gz
Clostridiaceae_bacterium_AF42_6,Clostridiaceae bacterium AF42-6,Butyricicoccus Clostridiaceae bacterium AF42-6,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2291990,,GCA_003477505.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/477/505/GCA_003477505.1_ASM347750v1/GCA_003477505.1_ASM347750v1_genomic.fna.gz
Clostridiaceae_bacterium_AM27_36LB,Clostridiaceae bacterium AM27-36LB,Butyricicoccus Clostridiaceae bacterium AM27-36LB,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292288,,GCA_003480725.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/480/725/GCA_003480725.1_ASM348072v1/GCA_003480725.1_ASM348072v1_genomic.fna.gz
Clostridiaceae_bacterium_OF09_1,Clostridiaceae bacterium OF09-1,Butyricicoccus Clostridiaceae bacterium OF09-1,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292276,,GCA_003482275.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/482/275/GCA_003482275.1_ASM348227v1/GCA_003482275.1_ASM348227v1_genomic.fna.gz
Clostridiaceae_bacterium_OM02_2AC,Clostridiaceae bacterium OM02-2AC,Butyricicoccus Clostridiaceae bacterium OM02-2AC,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292275,,GCA_003481775.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/481/775/GCA_003481775.1_ASM348177v1/GCA_003481775.1_ASM348177v1_genomic.fna.gz
Clostridiaceae_bacterium_OM08_6BH,Clostridiaceae bacterium OM08-6BH,Butyricicoccus Clostridiaceae bacterium OM08-6BH,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292274,,GCA_003481535.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/481/535/GCA_003481535.1_ASM348153v1/GCA_003481535.1_ASM348153v1_genomic.fna.gz
Clostridiaceae_bacterium_TF01_6,Clostridiaceae bacterium TF01-6,Butyricicoccus Clostridiaceae bacterium TF01-6,Butyricicoccus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2305245,,GCA_003435455.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/435/455/GCA_003435455.1_ASM343545v1/GCA_003435455.1_ASM343545v1_genomic.fna.gz
Clostridiales_bacterium_AM23_16LB,Clostridiales bacterium AM23-16LB,Intestinimonas Clostridiales bacterium AM23-16LB,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2306574,,GCA_003435115.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/435/115/GCA_003435115.1_ASM343511v1/GCA_003435115.1_ASM343511v1_genomic.fna.gz
Clostridiales_bacterium_CCNA10,Clostridiales bacterium CCNA10,Intestinimonas Clostridiales bacterium CCNA10,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2109688,,GCA_003573975.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/975/GCA_003573975.1_ASM357397v1/GCA_003573975.1_ASM357397v1_genomic.fna.gz
Clostridiales_bacterium_Choco116,Clostridiales bacterium Choco116,Intestinimonas Clostridiales bacterium Choco116,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2109689,,GCA_003202955.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/202/955/GCA_003202955.1_ASM320295v1/GCA_003202955.1_ASM320295v1_genomic.fna.gz
Clostridiales_bacterium_KLE1615,Clostridiales bacterium KLE1615,Intestinimonas Clostridiales bacterium KLE1615,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1715004,,GCA_001641065.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/641/065/GCA_001641065.1_ASM164106v1/GCA_001641065.1_ASM164106v1_genomic.fna.gz
Clostridiales_bacterium_VE202_01,Clostridiales bacterium VE202-01,Intestinimonas Clostridiales bacterium VE202-01,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1232438,,GCA_000508865.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/865/GCA_000508865.1_ASM50886v1/GCA_000508865.1_ASM50886v1_genomic.fna.gz
Clostridiales_bacterium_VE202_03,Clostridiales bacterium VE202-03,Intestinimonas Clostridiales bacterium VE202-03,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1232439,,GCA_000508885.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/885/GCA_000508885.1_ASM50888v1/GCA_000508885.1_ASM50888v1_genomic.fna.gz
Clostridiales_bacterium_VE202_07,Clostridiales bacterium VE202-07,Lawsonibacter Clostridiales bacterium VE202-07,Lawsonibacter,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1232448,,GCA_000508945.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/945/GCA_000508945.1_ASM50894v1/GCA_000508945.1_ASM50894v1_genomic.fna.gz
Clostridiales_bacterium_VE202_16,Clostridiales bacterium VE202-16,Lawsonibacter Clostridiales bacterium VE202-16,Lawsonibacter,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1232445,,GCA_000509065.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/509/065/GCA_000509065.1_ASM50906v1/GCA_000509065.1_ASM50906v1_genomic.fna.gz
Clostridiales_bacterium_VE202_18,Clostridiales bacterium VE202-18,Intestinimonas Clostridiales bacterium VE202-18,Intestinimonas,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1232446,,GCA_000509085.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/509/085/GCA_000509085.1_ASM50908v1/GCA_000509085.1_ASM50908v1_genomic.fna.gz
Clostridiales_bacterium_VE202_26,Clostridiales bacterium VE202-26,Oxobacter Clostridiales bacterium VE202-26,Oxobacter,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1232454,,GCA_000509125.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/509/125/GCA_000509125.1_ASM50912v1/GCA_000509125.1_ASM50912v1_genomic.fna.gz
Clostridium_carnis_NCTC10913,Clostridium carnis NCTC10913,Clostridium carnis,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1530,GCF_900618095.1,GCA_900618095.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/618/095/GCF_900618095.1_NCTC10913/GCF_900618095.1_NCTC10913_genomic.fna.gz
Clostridium_neonatale_LCDC_no_99_A_005,Clostridium neonatale LCDC no.99-A-005,Clostridium neonatale,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,137838,GCF_001458595.1,GCA_001458595.1,Gram+,Anaerobe,159785,Clostridium neonatale St. Boniface Hospital 30686,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/595/GCF_001458595.1_Clostridium_neonatale/GCF_001458595.1_Clostridium_neonatale_genomic.fna.gz
Clostridium_nigeriense_Marseille_P2414,Clostridium nigeriense Marseille-P2414,Clostridium nigeriense,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1805470,GCF_900086595.1,GCA_900086595.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/086/595/GCF_900086595.1_PRJEB13977/GCF_900086595.1_PRJEB13977_genomic.fna.gz
Clostridium_septicum_DSM_7534,Clostridium septicum DSM 7534,Clostridium septicum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1504,GCF_003606265.1,GCA_003606265.1,Gram+,Anaerobe,2772,Clostridium septicum Pasteur III DSM 7534,
Clostridium_sp_1_1_41A1FAA,Clostridium sp. 1_1_41A1FAA,Clostridium sp. 1_1_41A1FAA,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,457397,,GCA_001078415.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/078/415/GCA_001078415.1_Clostridium_sp_1_1_41A1Faa_V1/GCA_001078415.1_Clostridium_sp_1_1_41A1Faa_V1_genomic.fna.gz
Clostridium_sp_AF18_27,Clostridium sp. AF18-27,Clostridium sp. AF18-27,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292203,GCF_003479335.1,GCA_003479335.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/335/GCF_003479335.1_ASM347933v1/GCF_003479335.1_ASM347933v1_genomic.fna.gz
Clostridium_sp_AF27_2AA,Clostridium sp. AF27-2AA,Clostridium sp. AF27-2AA,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292206,GCF_003478505.1,GCA_003478505.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/478/505/GCF_003478505.1_ASM347850v1/GCF_003478505.1_ASM347850v1_genomic.fna.gz
Clostridium_sp_AF34_10BH,Clostridium sp. AF34-10BH,Clostridium sp. AF34-10BH,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293011,GCF_003478095.1,GCA_003478095.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/478/095/GCF_003478095.1_ASM347809v1/GCF_003478095.1_ASM347809v1_genomic.fna.gz
Clostridium_sp_AF34_13,Clostridium sp. AF34-13,Clostridium sp. AF34-13,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293012,GCF_003477845.1,GCA_003477845.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/477/845/GCF_003477845.1_ASM347784v1/GCF_003477845.1_ASM347784v1_genomic.fna.gz
Clostridium_sp_AF36_18BH,Clostridium sp. AF36-18BH,Clostridium sp. AF36-18BH,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293014,GCF_003477665.1,GCA_003477665.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/477/665/GCF_003477665.1_ASM347766v1/GCF_003477665.1_ASM347766v1_genomic.fna.gz
Clostridium_sp_AM22_11AC,Clostridium sp. AM22-11AC,Clostridium sp. AM22-11AC,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293024,GCF_003473545.1,GCA_003473545.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/473/545/GCF_003473545.1_ASM347354v1/GCF_003473545.1_ASM347354v1_genomic.fna.gz
Clostridium_sp_AM27_31LB,Clostridium sp. AM27-31LB,Clostridium sp. AM27-31LB,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293026,GCF_003480745.1,GCA_003480745.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/745/GCF_003480745.1_ASM348074v1/GCF_003480745.1_ASM348074v1_genomic.fna.gz
Clostridium_sp_AM30_24,Clostridium sp. AM30-24,Clostridium sp. AM30-24,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292303,GCF_003480435.1,GCA_003480435.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/435/GCF_003480435.1_ASM348043v1/GCF_003480435.1_ASM348043v1_genomic.fna.gz
Clostridium_sp_AM32_2,Clostridium sp. AM32-2,Clostridium sp. AM32-2,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293029,GCF_003480345.1,GCA_003480345.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/345/GCF_003480345.1_ASM348034v1/GCF_003480345.1_ASM348034v1_genomic.fna.gz
Clostridium_sp_AM33_3,Clostridium sp. AM33-3,Clostridium sp. AM33-3,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292304,GCF_003480315.1,GCA_003480315.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/315/GCF_003480315.1_ASM348031v1/GCF_003480315.1_ASM348031v1_genomic.fna.gz
Clostridium_sp_AM34_11AC,Clostridium sp. AM34-11AC,Clostridium sp. AM34-11AC,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2305242,GCF_003435375.1,GCA_003435375.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/435/375/GCF_003435375.1_ASM343537v1/GCF_003435375.1_ASM343537v1_genomic.fna.gz
Clostridium_sp_AM34_9AC,Clostridium sp. AM34-9AC,Clostridium sp. AM34-9AC,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293030,GCF_003480225.1,GCA_003480225.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/480/225/GCF_003480225.1_ASM348022v1/GCF_003480225.1_ASM348022v1_genomic.fna.gz
Clostridium_sp_C105KSO14,Clostridium sp. C105KSO14,Clostridium sp. C105KSO14,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1776046,GCF_001517465.1,GCA_001517465.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/517/465/GCF_001517465.1_C105KES14_ass/GCF_001517465.1_C105KES14_ass_genomic.fna.gz
Clostridium_sp_DSM_8431,Clostridium sp. DSM 8431,Clostridium sp. DSM 8431,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1761781,GCF_900116755.1,GCA_900116755.1,Gram+,Anaerobe,2686,Clostridium sp. B6405 DSM 8431,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/755/GCF_900116755.1_IMG-taxon_2623621014_annotated_assembly/GCF_900116755.1_IMG-taxon_2623621014_annotated_assembly_genomic.fna.gz
Clostridium_sp_HMb25,Clostridium sp. HMb25,Clostridium sp. HMb25,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2044259,,GCA_002814175.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/814/175/GCA_002814175.1_ASM281417v1/GCA_002814175.1_ASM281417v1_genomic.fna.gz
Clostridium_sp_OF03_18AA,Clostridium sp. OF03-18AA,Clostridium sp. OF03-18AA,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292308,GCF_003478035.1,GCA_003478035.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/478/035/GCF_003478035.1_ASM347803v1/GCF_003478035.1_ASM347803v1_genomic.fna.gz
Clostridium_sp_SN20,Clostridium sp. SN20,Clostridium sp. SN20,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1776383,GCF_900199495.1,GCA_900199495.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/495/GCF_900199495.1_PRJEB21862/GCF_900199495.1_PRJEB21862_genomic.fna.gz
Clostridium_sp_TF08_15,Clostridium sp. TF08-15,Clostridium sp. TF08-15,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293052,GCF_003481275.1,GCA_003481275.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/481/275/GCF_003481275.1_ASM348127v1/GCF_003481275.1_ASM348127v1_genomic.fna.gz
Clostridium_sp_TM06_18,Clostridium sp. TM06-18,Clostridium sp. TM06-18,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293054,GCF_003481015.1,GCA_003481015.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/481/015/GCF_003481015.1_ASM348101v1/GCF_003481015.1_ASM348101v1_genomic.fna.gz
Clostridium_transplantifaecale_Marseille_P8228,Clostridium transplantifaecale Marseille-P8228,Clostridium sp. Marseille-P8228,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2479838,GCF_900626075.1,GCA_900626075.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/626/075/GCF_900626075.1_PRJEB29219/GCF_900626075.1_PRJEB29219_genomic.fna.gz
Coprobacillus_sp_AF09_1A,Coprobacillus sp. AF09-1A,Coprobacillus sp. AF09-1A,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria,2293057,GCF_003479775.1,GCA_003479775.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/479/775/GCF_003479775.1_ASM347977v1/GCF_003479775.1_ASM347977v1_genomic.fna.gz
Coprococcus_phoceensis_Marseille_P3062,Coprococcus phoceensis Marseille-P3062,Tyzzerella sp. Marseille-P3062,Tyzzerella,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1870993,GCF_900104635.1,GCA_900104635.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/635/GCF_900104635.1_PRJEB16356/GCF_900104635.1_PRJEB16356_genomic.fna.gz
Coprococcus_sp_AF18_48,Coprococcus sp. AF18-48,Coprococcus sp. AF18-48,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293089,GCF_003603145.1,GCA_003603145.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/145/GCF_003603145.1_ASM360314v1/GCF_003603145.1_ASM360314v1_genomic.fna.gz
Coprococcus_sp_AF27_8,Coprococcus sp. AF27-8,Coprococcus sp. AF27-8,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2302946,GCF_003602905.1,GCA_003602905.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/602/905/GCF_003602905.1_ASM360290v1/GCF_003602905.1_ASM360290v1_genomic.fna.gz
Coprococcus_sp_AM27_12LB,Coprococcus sp. AM27-12LB,Coprococcus sp. AM27-12LB,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2293092,GCF_003603755.1,GCA_003603755.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/755/GCF_003603755.1_ASM360375v1/GCF_003603755.1_ASM360375v1_genomic.fna.gz
Coriobacteriaceae_bacterium_CHKCI002,Coriobacteriaceae bacterium CHKCI002,Parvibacter Coriobacteriaceae bacterium CHKCI002,Parvibacter,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,1780377,,GCA_900044025.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/044/025/GCA_900044025.1_CHCKI002/GCA_900044025.1_CHCKI002_genomic.fna.gz
Dermabacter_hominis_NBRC_106157,Dermabacter hominis NBRC 106157,Dermabacter hominis,Dermabacter,Dermabacteraceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,36740,GCF_001570785.1,GCA_001570785.1,Gram+,Anaerobe,3918,Dermabacter hominis S69 DSM 7083,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/785/GCF_001570785.1_ASM157078v1/GCF_001570785.1_ASM157078v1_genomic.fna.gz
Dorea_phocaeensis_Marseille_P4003,Dorea phocaeensis Marseille-P4003,Dorea sp. Marseille-P4003,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2040291,GCF_013304605.1,GCA_013304605.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/304/605/GCF_013304605.1_ASM1330460v1/GCF_013304605.1_ASM1330460v1_genomic.fna.gz
Dorea_sp_AGR2135,Dorea sp. AGR2135,Dorea sp. AGR2135,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1280669,GCF_000420885.1,GCA_000420885.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/885/GCF_000420885.1_ASM42088v1/GCF_000420885.1_ASM42088v1_genomic.fna.gz
Dorea_sp_Marseille_P4042,Dorea sp. Marseille-P4042,Dorea sp. Marseille-P4042,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2080749,GCF_900290215.1,GCA_900290215.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/290/215/GCF_900290215.1_PRJEB24603/GCF_900290215.1_PRJEB24603_genomic.fna.gz
Drancourtella_massiliensis_An770,Drancourtella massiliensis An770,Drancourtella massiliensis,Drancourtella,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1632013,GCF_016900655.1,GCA_001049915.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/900/655/GCF_016900655.1_ASM1690065v1/GCF_016900655.1_ASM1690065v1_genomic.fna.gz
Eisenbergiella_massiliensis_AT11,Eisenbergiella massiliensis AT11,Eisenbergiella massiliensis,Eisenbergiella,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1720294,GCF_900243045.1,GCA_900243045.1,Gram+,Anaerobe,132657,Eisenbergiella massiliensis AT11 DSM 101499,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/243/045/GCF_900243045.1_PRJEB14662/GCF_900243045.1_PRJEB14662_genomic.fna.gz
Eisenbergiella_sp_OF01_20,Eisenbergiella sp. OF01-20,Eisenbergiella sp. OF01-20,Eisenbergiella,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2292348,GCF_003478085.1,GCA_003478085.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/478/085/GCF_003478085.1_ASM347808v1/GCF_003478085.1_ASM347808v1_genomic.fna.gz
Enterobacter_sp_Bisph2,Enterobacter sp. Bisph2,Enterobacter sp. Bisph2,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,1274400,,GCA_000814915.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/915/GCA_000814915.1_widad/GCA_000814915.1_widad_genomic.fna.gz
Enterobacter_sp_NFR05,Enterobacter sp. NFR05,Enterobacter sp. NFR05,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,1566259,,GCA_900168315.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/315/GCA_900168315.1_IMG-taxon_2609459761_annotated_assembly/GCA_900168315.1_IMG-taxon_2609459761_annotated_assembly_genomic.fna.gz
Enterocloster_aldenensis_AF19_9LB,Enterocloster aldenensis AF19-9LB,Enterocloster aldenensis,Enterocloster,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,358742,GCF_003434055.1,GCA_003434055.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/434/055/GCF_003434055.1_ASM343405v1/GCF_003434055.1_ASM343405v1_genomic.fna.gz
Enterococcus_canintestini_DSM_21207,Enterococcus canintestini DSM 21207,Enterococcus canintestini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,317010,GCF_001885735.1,GCA_001885735.1,Gram+,Anaerobe,5347,Enterococcus canintestini Devriese S33 DSM 21207,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/885/735/GCF_001885735.1_ASM188573v1/GCF_001885735.1_ASM188573v1_genomic.fna.gz
